dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.000000,2.000000,0.000653,0.065337,3.266872,163.343610,0.000000
0.020000,1.000000,2.000000,0.000653,0.000000,-3.266872,-326.687221,0.000000
0.020000,1.000000,2.000000,0.000653,0.000000,0.000000,163.343610,0.000000
0.020000,1.007334,2.000000,0.007988,0.366718,18.335903,916.795129,0.000000
0.020000,1.017788,2.000000,0.018442,0.522700,7.799075,-526.841376,0.000000
0.020000,1.030856,2.000000,0.031509,0.653374,6.533744,-63.266533,0.000000
0.020000,1.046537,2.000000,0.047190,0.784049,6.533744,0.000000,0.000000
0.020000,1.064831,2.000000,0.065485,0.914724,6.533744,-0.000000,0.000000
0.020000,1.085739,2.000000,0.086393,1.045399,6.533744,0.000000,0.000000
0.020000,1.109261,2.000000,0.109914,1.176074,6.533744,-0.000000,0.000000
0.020000,1.135396,2.000000,0.136049,1.306749,6.533744,0.000000,0.000000
0.020000,1.164144,2.000000,0.164798,1.437424,6.533744,-0.000000,0.000000
0.020000,1.195506,2.000000,0.196160,1.568099,6.533744,0.000000,0.000000
0.020000,1.229482,2.000000,0.230135,1.698774,6.533744,-0.000000,0.000000
0.020000,1.266071,2.000000,0.266724,1.829448,6.533744,0.000000,0.000000
0.020000,1.305273,2.000000,0.305926,1.960123,6.533744,0.000000,0.000000
0.020000,1.347089,2.000000,0.347742,2.090798,6.533744,-0.000000,0.000000
0.020000,1.391519,2.000000,0.392172,2.221473,6.533744,0.000000,0.000000
0.020000,1.438561,2.000000,0.439215,2.352148,6.533744,0.000000,0.000000
0.020000,1.488218,2.000000,0.488871,2.482823,6.533744,0.000000,0.000000
0.020000,1.540488,2.000000,0.541141,2.613498,6.533744,-0.000000,0.000000
0.020000,1.595371,2.000000,0.596025,2.744173,6.533744,0.000000,0.000000
0.020000,1.652868,2.000000,0.653522,2.874848,6.533744,-0.000000,0.000000
0.020000,1.712979,2.000000,0.713632,3.005522,6.533744,0.000000,0.000000
0.020000,1.775703,2.000000,0.776356,3.136197,6.533744,0.000000,0.000000
0.020000,1.841040,2.000000,0.841694,3.266872,6.533744,0.000000,0.000000
0.020000,1.908991,2.000000,0.909644,3.397547,6.533744,-0.000000,0.000000
0.020000,1.979556,2.000000,0.980209,3.528222,6.533744,-0.000000,0.000000
0.020000,2.052733,2.000000,1.053387,3.658897,6.533744,0.000000,0.000000
0.020000,2.128525,2.000000,1.129178,3.789572,6.533744,0.000000,0.000000
0.020000,2.206930,2.000000,1.207583,3.920247,6.533744,0.000000,0.000000
0.020000,2.287948,2.000000,1.288602,4.050922,6.533744,-0.000000,0.000000
0.020000,2.371580,2.000000,1.372234,4.181596,6.533744,0.000000,0.000000
0.020000,2.457826,2.000000,1.458479,4.312271,6.533744,0.000000,0.000000
0.020000,2.546685,2.000000,1.547338,4.442946,6.533744,-0.000000,0.000000
0.020000,2.638157,2.000000,1.638810,4.573621,6.533744,0.000000,0.000000
0.020000,2.732243,2.000000,1.732896,4.704296,6.533744,-0.000000,0.000000
0.020000,2.828942,2.000000,1.829596,4.834971,6.533744,-0.000000,0.000000
0.020000,2.928255,2.000000,1.928909,4.965646,6.533744,0.000000,0.000000
0.020000,3.030182,2.000000,2.030835,5.096321,6.533744,-0.000000,0.000000
0.020000,3.134722,2.000000,2.135375,5.226996,6.533744,0.000000,0.000000
0.020000,3.241875,2.000000,2.242528,5.357670,6.533744,0.000000,0.000000
0.020000,3.351642,2.000000,2.352295,5.488345,6.533744,-0.000000,0.000000
0.020000,3.464022,2.000000,2.464676,5.619020,6.533744,0.000000,0.000000
0.020000,3.579016,2.000000,2.579670,5.749695,6.533744,-0.000000,0.000000
0.020000,3.696624,2.000000,2.697277,5.880370,6.533744,0.000000,0.000000
0.020000,3.816844,2.000000,2.817498,6.011045,6.533744,-0.000000,0.000000
0.020000,3.939679,2.000000,2.940332,6.141720,6.533744,0.000000,0.000000
0.020000,4.065127,2.000000,3.065780,6.272395,6.533744,-0.000000,0.000000
0.020000,4.193188,2.000000,3.193842,6.403070,6.533744,-0.000000,0.000000
0.020000,4.323863,2.000000,3.324516,6.533744,6.533744,0.000000,0.000000
0.020000,4.457151,2.000000,3.457805,6.664419,6.533744,0.000000,0.000000
0.020000,4.593053,2.000000,3.593707,6.795094,6.533744,-0.000000,0.000000
0.020000,4.731569,2.000000,3.732222,6.925769,6.533744,0.000000,0.000000
0.020000,4.872698,2.000000,3.873351,7.056444,6.533744,0.000000,0.000000
0.020000,5.016440,2.000000,4.017093,7.187119,6.533744,-0.000000,0.000000
0.020000,5.162796,2.000000,4.163449,7.317794,6.533744,0.000000,0.000000
0.020000,5.311765,2.000000,4.312419,7.448469,6.533744,0.000000,0.000000
0.020000,5.462695,2.000000,4.463348,7.546475,4.900308,-81.671805,0.000000
0.020000,5.613907,2.000000,4.614560,7.560615,0.707011,-209.664852,0.000000
0.020000,5.763725,2.000000,4.764378,7.490889,-3.486286,-209.664852,0.000000
0.020000,5.911212,2.000000,4.911865,7.374355,-5.826733,-117.022369,0.000000
0.020000,6.056085,2.000000,5.056739,7.243680,-6.533744,-35.350564,0.000000
0.020000,6.198346,2.000000,5.198999,7.113005,-6.533744,-0.000000,0.000000
0.020000,6.337992,2.000000,5.338646,6.982330,-6.533744,0.000000,0.000000
0.020000,6.475025,2.000000,5.475679,6.851655,-6.533744,0.000000,0.000000
0.020000,6.609445,2.000000,5.610098,6.720980,-6.533744,-0.000000,0.000000
0.020000,6.741251,2.000000,5.741904,6.590305,-6.533744,0.000000,0.000000
